batting_position,player_name,Out/Not Out,runs,balls,fours,sixes,strikeRate,match_id,match,team
6,Laurie Evans †,1,0,1,0,0,0,m_32,Islamabad United vs Quetta Gladiators,Quetta Gladiators
7,Akeal Hosein,1,31,18,2,3,172.22,m_32,Islamabad United vs Quetta Gladiators,Quetta Gladiators
8,Mohammad Wasim Jnr,1,6,10,0,0,60,m_32,Islamabad United vs Quetta Gladiators,Quetta Gladiators
9,Mohammad Amir,1,23,14,4,1,164.29,m_32,Islamabad United vs Quetta Gladiators,Quetta Gladiators
10,Abrar Ahmed,1,5,8,1,0,62.5,m_32,Islamabad United vs Quetta Gladiators,Quetta Gladiators
11,Usman Tariq,0,1,1,0,0,100,m_32,Islamabad United vs Quetta Gladiators,Quetta Gladiators
1,Saim Ayub,1,73,44,6,4,165.91,m_33,Peshawar Zalmi vs Islamabad United,Peshawar Zalmi
2,Babar Azam ,1,25,22,2,1,113.64,m_33,Peshawar Zalmi vs Islamabad United,Peshawar Zalmi
3,Mohammad Haris †,1,40,25,3,2,160,m_33,Peshawar Zalmi vs Islamabad United,Peshawar Zalmi
4,Rovman Powell,1,2,7,0,0,28.57,m_33,Peshawar Zalmi vs Islamabad United,Peshawar Zalmi
5,Tom Kohler-Cadmore,1,18,9,2,1,200,m_33,Peshawar Zalmi vs Islamabad United,Peshawar Zalmi
6,Aamir Jamal,0,17,9,1,1,188.89,m_33,Peshawar Zalmi vs Islamabad United,Peshawar Zalmi
7,Hussain Talat,0,8,4,1,0,200,m_33,Peshawar Zalmi vs Islamabad United,Peshawar Zalmi
1,Martin Guptill,1,34,21,5,1,161.9,m_33,Peshawar Zalmi vs Islamabad United,Islamabad United
2,Alex Hales,1,1,2,0,0,50,m_33,Peshawar Zalmi vs Islamabad United,Islamabad United
3,Salman Ali Agha,1,5,4,1,0,125,m_33,Peshawar Zalmi vs Islamabad United,Islamabad United
4,Shadab Khan ,1,0,2,0,0,0,m_33,Peshawar Zalmi vs Islamabad United,Islamabad United
5,Imad Wasim,0,59,40,9,0,147.5,m_33,Peshawar Zalmi vs Islamabad United,Islamabad United
6,Azam Khan †,1,22,17,1,1,129.41,m_33,Peshawar Zalmi vs Islamabad United,Islamabad United
7,Haider Ali,0,52,29,2,5,179.31,m_33,Peshawar Zalmi vs Islamabad United,Islamabad United
1,Yasir Khan,1,6,6,1,0,100,m_34,Multan Sultans vs Islamabad United,Multan Sultans
2,Mohammad Rizwan ,1,26,26,3,0,100,m_34,Multan Sultans vs Islamabad United,Multan Sultans
3,David Willey,1,6,3,0,1,200,m_34,Multan Sultans vs Islamabad United,Multan Sultans
4,Usman Khan,1,57,40,7,1,142.5,m_34,Multan Sultans vs Islamabad United,Multan Sultans
5,Johnson Charles,1,4,6,0,0,66.67,m_34,Multan Sultans vs Islamabad United,Multan Sultans
6,Khushdil Shah,1,11,13,1,0,84.62,m_34,Multan Sultans vs Islamabad United,Multan Sultans
7,Usama Mir,1,6,2,0,1,300,m_34,Multan Sultans vs Islamabad United,Multan Sultans
8,Iftikhar Ahmed,0,32,20,3,3,160,m_34,Multan Sultans vs Islamabad United,Multan Sultans
9,Chris Jordan,1,0,1,0,0,0,m_34,Multan Sultans vs Islamabad United,Multan Sultans
10,Mohammad Abbas Afridi,1,1,2,0,0,50,m_34,Multan Sultans vs Islamabad United,Multan Sultans
11,Mohammad Ali,0,0,3,0,0,0,m_34,Multan Sultans vs Islamabad United,Multan Sultans
1,Martin Guptill,1,50,32,4,3,156.25,m_34,Multan Sultans vs Islamabad United,Islamabad United
2,Colin Munro,1,17,13,4,0,130.77,m_34,Multan Sultans vs Islamabad United,Islamabad United
3,Salman Ali Agha,1,10,11,2,0,90.91,m_34,Multan Sultans vs Islamabad United,Islamabad United
4,Shadab Khan ,1,4,8,0,0,50,m_34,Multan Sultans vs Islamabad United,Islamabad United
5,Azam Khan †,1,30,22,4,1,136.36,m_34,Multan Sultans vs Islamabad United,Islamabad United
6,Imad Wasim,0,19,17,2,0,111.76,m_34,Multan Sultans vs Islamabad United,Islamabad United
7,Haider Ali,1,5,3,1,0,166.67,m_34,Multan Sultans vs Islamabad United,Islamabad United
8,Faheem Ashraf,1,1,4,0,0,25,m_34,Multan Sultans vs Islamabad United,Islamabad United
9,Naseem Shah,1,17,9,2,1,188.89,m_34,Multan Sultans vs Islamabad United,Islamabad United
10,Hunain Shah,0,4,1,1,0,400,m_34,Multan Sultans vs Islamabad United,Islamabad United
1,Saim Ayub,1,7,11,1,0,63.64,m-09,Multan Sultans vs Peshawar Zalmi,Peshawar Zalmi
2,Babar Azam ,1,31,26,5,0,119.23,m-09,Multan Sultans vs Peshawar Zalmi,Peshawar Zalmi
3,Haseebullah,1,37,18,4,2,205.56,m-09,Multan Sultans vs Peshawar Zalmi,Peshawar Zalmi
4,Mohammad Haris †,1,19,19,1,0,100,m-09,Multan Sultans vs Peshawar Zalmi,Peshawar Zalmi
5,Paul Walter,1,16,8,2,1,200,m-09,Multan Sultans vs Peshawar Zalmi,Peshawar Zalmi
6,Rovman Powell,1,23,11,3,1,209.09,m-09,Multan Sultans vs Peshawar Zalmi,Peshawar Zalmi
7,Asif Ali,1,13,10,2,0,130,m-09,Multan Sultans vs Peshawar Zalmi,Peshawar Zalmi
8,Luke Wood,0,17,12,1,1,141.67,m-09,Multan Sultans vs Peshawar Zalmi,Peshawar Zalmi
9,Naveen-ul-Haq,1,6,4,1,0,150,m-09,Multan Sultans vs Peshawar Zalmi,Peshawar Zalmi
10,Arif Yaqoob,0,1,1,0,0,100,m-09,Multan Sultans vs Peshawar Zalmi,Peshawar Zalmi
1,Yasir Khan,1,43,37,6,0,116.22,m-09,Multan Sultans vs Peshawar Zalmi,Multan Sultans
2,Mohammad Rizwan ,1,0,3,0,0,0,m-09,Multan Sultans vs Peshawar Zalmi,Multan Sultans
3,Reeza Hendricks,1,28,27,2,0,103.7,m-09,Multan Sultans vs Peshawar Zalmi,Multan Sultans
4,Dawid Malan,1,52,25,3,3,208,m-09,Multan Sultans vs Peshawar Zalmi,Multan Sultans
5,Khushdil Shah,1,5,5,0,0,100,m-09,Multan Sultans vs Peshawar Zalmi,Multan Sultans
6,Iftikhar Ahmed,1,16,8,2,1,200,m-09,Multan Sultans vs Peshawar Zalmi,Multan Sultans
7,Usama Mir,1,12,3,0,2,400,m-09,Multan Sultans vs Peshawar Zalmi,Multan Sultans
8,David Willey,1,0,1,0,0,0,m-09,Multan Sultans vs Peshawar Zalmi,Multan Sultans
9,Mohammad Abbas Afridi,1,11,6,2,0,183.33,m-09,Multan Sultans vs Peshawar Zalmi,Multan Sultans
10,Mohammad Ali,0,1,4,0,0,25,m-09,Multan Sultans vs Peshawar Zalmi,Multan Sultans
11,Shahnawaz Dahani,1,0,1,0,0,0,m-09,Multan Sultans vs Peshawar Zalmi,Multan Sultans
